Banks,Interest Rates (PA),Interest Rate for Seniors (PA)
Tamil Nadu Power Finance FD,8%,8.2%
Shriram Finance FD,7.6%,8.1%
Jana Small Finance Bank FD,7.5%,8%
North East Small Finance Bank FD,7.5%,7.5%
Utkarsh Small Finance Bank FD,7.5%,8%
Chaitanya Godavari Grameena Bank FD,7.25%,7.75%
Suryoday Small Finance Bank FD,7.25%,7.45%
Ujjivan Small Finance Bank FD,7.2%,7.7%
RBL Bank FD,7.2%,7.7%
AU Small Finance Bank FD,7.1%,7.6%
Post Office FD,7.1%,7.1%
DCB Bank FD,7%,7.25%
Bandhan Bank FD,7%,7.5%
Andhra Pradesh Grameena Vikas Bank FD,7%,7.5%
Vidharbha Konkan Gramin Bank FD,7%,7%
ESF Bank FD,7%,7.5%
Dakshin Bihar Gramin Bank FD,7%,7%
Andhra Pragathi Grameena Bank FD,7%,7.6%
Mahindra Finance FD,7%,7.25%
Sundaram Finance FD,7%,7.5%
